POIS_ID;GRUPA;PODGRUPA;NAZWA;ADRES;KOD_POCZTO;STATUS_PUB;L_DZIECI_U;L_ODDZIALO;TYP
15678;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 37    Kardyna┼éa Stefana Wyszy┼äskiego;Sarbinowska 10;54-320;publiczna;455;24;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16095;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 38;Horbaczewskiego 61;54-130;publiczna;263;13;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16280;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 39;Przedwio┼Ťnie 47;51-211;publiczna;326;15;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16161;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 4;Powsta┼äc├│w ┼Ül─ůskich 210-218;53-140;publiczna;608;29;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16047;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 40     Boles┼éawa Iwaszkiewicza;So┼étysowicka 34;51-168;publiczna;503;24;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15994;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 42;Wa┼ébrzyska 50;52-314;publiczna;482;22;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16159;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 43 z Oddzia┼éami Integracyjnymi         Jana Kaczmarka;Grochowa 36-38;53-424;publiczna;528;32;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
16158;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 44          Jana III Sobieskiego;Wilanowska 31;51-206;publiczna;875;45;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15713;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 45            Janusza Kusoci┼äskiego;Krajewskiego 1;51-690;publiczna;299;17;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
15715;Edukacja;Szko┼éy podstawowe;Szko┼éa Podstawowa nr 47;Januszowicka 35-37;53-135;publiczna;561;26;o┼Ťmioletnia szko┼éa podstawowa og├│lnodost─Öpna
